Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
Backend,com0.TrelloClone.board.controller,BoardController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Backend,com0.TrelloClone.task.controller,taskController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Backend,com0.TrelloClone.task.model,TaskModel,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: taskId; taskName; taskStatus; dueDate; user; board
Backend,com0.TrelloClone.task.model,TaskModel.status,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
Backend,com0.TrelloClone.task.model,TaskModel.status,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Backend,com0.TrelloClone,TrelloCloneApplication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Backend,com0.TrelloClone,WebConfig,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Backend,com0.TrelloClone.user.controller,UserController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Backend,com0.TrelloClone.user.controller,UserController,Feature Envy,The tool detected a instance of this smell because signup is more interested in members of the type: UserService
Backend,com0.TrelloClone.user.controller,UserController,Feature Envy,The tool detected a instance of this smell because updateUser is more interested in members of the type: UserService
Backend,com0.TrelloClone.workspace.controller,WorkspaceController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
