Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
Backend,com0.TrelloClone.task.model,TaskModel,TaskModel,Long Parameter List,The method has 6 parameters. ,88
Backend,com0.TrelloClone,WebConfig,addCorsMappings,Long Statement,The length of the statement "registry.addMapping("/**").allowedOrigins("http://localhost:3000").allowedMethods("GET"`"POST"`"PUT"`"DELETE").allowedHeaders("*").allowCredentials(true);" is 154.,10
Backend,com0.TrelloClone,TaskTest,testChangeStatus,Magic Number,The method contains a magic number: 2023,36
Backend,com0.TrelloClone,TaskTest,testChangeStatus,Magic Number,The method contains a magic number: 12,36
Backend,com0.TrelloClone,TaskTest,testChangeStatusOfNonExistingTask,Magic Number,The method contains a magic number: 2023,55
Backend,com0.TrelloClone,TaskTest,testChangeStatusOfNonExistingTask,Magic Number,The method contains a magic number: 12,55
Backend,com0.TrelloClone,TaskTest,testChangeStatusOfNonExistingTask,Magic Number,The method contains a magic number: 2,55
Backend,com0.TrelloClone,TaskTest,testChangeDueDate,Magic Number,The method contains a magic number: 2023,70
Backend,com0.TrelloClone,TaskTest,testChangeDueDate,Magic Number,The method contains a magic number: 12,70
Backend,com0.TrelloClone,TaskTest,testChangeDueDate,Magic Number,The method contains a magic number: 2024,70
Backend,com0.TrelloClone,TaskTest,testChangeDueDate,Magic Number,The method contains a magic number: 10,70
Backend,com0.TrelloClone,TaskTest,testChangeDueDate,Magic Number,The method contains a magic number: 7,70
Backend,com0.TrelloClone,TaskTest,testChangeDueDate,Magic Number,The method contains a magic number: 2024,70
Backend,com0.TrelloClone,TaskTest,testChangeDueDate,Magic Number,The method contains a magic number: 10,70
Backend,com0.TrelloClone,TaskTest,testChangeDueDate,Magic Number,The method contains a magic number: 7,70
Backend,com0.TrelloClone,TaskTest,testChangeDueDateToBeforeToday,Magic Number,The method contains a magic number: 2023,89
Backend,com0.TrelloClone,TaskTest,testChangeDueDateToBeforeToday,Magic Number,The method contains a magic number: 12,89
Backend,com0.TrelloClone,TaskTest,testChangeDueDateToBeforeToday,Magic Number,The method contains a magic number: 2021,89
Backend,com0.TrelloClone,TaskTest,testChangeDueDateToBeforeToday,Magic Number,The method contains a magic number: 10,89
Backend,com0.TrelloClone,TaskTest,testChangeDueDateToBeforeToday,Magic Number,The method contains a magic number: 7,89
Backend,com0.TrelloClone,TaskTest,testAssignMember,Magic Number,The method contains a magic number: 2023,107
Backend,com0.TrelloClone,TaskTest,testAssignMember,Magic Number,The method contains a magic number: 12,107
Backend,com0.TrelloClone,TaskTest,testCreateTask,Magic Number,The method contains a magic number: 2023,147
Backend,com0.TrelloClone,TaskTest,testCreateTask,Magic Number,The method contains a magic number: 12,147
Backend,com0.TrelloClone,TaskTest,testCreateBoardWithoutName,Magic Number,The method contains a magic number: 2023,162
Backend,com0.TrelloClone,TaskTest,testCreateBoardWithoutName,Magic Number,The method contains a magic number: 12,162
Backend,com0.TrelloClone,WorkspaceTest,addMemebertoNonExistingWorkspace,Magic Number,The method contains a magic number: 2,112
Backend,com0.TrelloClone.user.entity,UserEntity,UserEntity,Long Parameter List,The method has 6 parameters. ,38
Backend,com0.TrelloClone.user.service,UserService,validatePassword,Magic Number,The method contains a magic number: 8,20
Backend,com0.TrelloClone.user.service,UserService,userInformation,Complex Conditional,The conditional expression userEntity.getFirstName() == null || userEntity.getEmailID() == null || userEntity.getPassword() == null is complex.,122
Backend,com0.TrelloClone.user.service,UserService,userInformation,Complex Conditional,The conditional expression userEntity.getFirstName().isEmpty() || userEntity.getEmailID().isEmpty() || userEntity.getPassword().isEmpty() is complex.,122
Backend,com0.TrelloClone.workspace.service,WorkspaceService,updateWorkspace,Long Statement,The length of the statement "if (workspace.getWorkspaceName().equals(workspace1.getWorkspaceName()) && workspace.getWorkspaceDesc().equals(workspace1.getWorkspaceDesc())) {" is 143.,29
Backend,com0.TrelloClone.workspace.service,WorkspaceService,getALLWorkspaceName,Long Statement,The length of the statement "for (int j=0; j < allWorkspace.get(i).getUser().size(); j++) if (allWorkspace.get(i).getUser().get(j).getId() == user.getId()) workspaceNames.add(allWorkspace.get(i).getWorkspaceName());" is 186.,64
